courseNumber,courseReferenceNumber,courseTitle,subjectDescription,description
ENGL304,14578,PROFESSIONAL RESEARCH PREPARATIONS,English,"4 units, seminar, 3 hours; research, 3 hours; consultation, 5 hours.  prerequisite(s): consent of instructor. covers the procedures, preparation, and presentation of oral and written research materials, including prospectus, with individual direction from instructor. graded satisfactory (s) or no credit (nc)."
ENGL410,24778,SEMINAR IN PROFESSIONAL DEVELOPMENT,English,"2 units, workshop, 2 hours. prerequisite(s): graduate standing or consent of instructor provides a flexible program of meetings and workshops on the development of skills and practices of the professional literary scholar.  includes conference presentations, academic publishing, pedagogy, grant writing, and other career-building practices. graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 6 units."
ENTM010,27800,NATURAL HISTORY OF INSECTS,Entomology,"4 units, lecture, 3 hours; discussion, 1 hour. a study of the world of insects and their impact on humankind. designed for non-entomology majors. utilizes living and preserved insects and other visual aids."
ENTM020,26606,BEES AND BEEKEEPING,Entomology,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s):  none.  fundamentals of keeping honey bees, their fascinating social behavior, and their economic importance as pollinators of agricultural crops and as producers of honey and other products. demonstrations of bee biology and behavior, with colonies of bees, and of beekeeping techniques, equipment, and extraction of honey."
ENTM060W,27739,SCICOMM: EXPLORING EFFECTIVE COMMUNICATION METHODS IN THE LIFE SCIENCES,Entomology,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 005a with a grade of c- or better, engl 001b with a grade of c or better, engl 007, may be taken concurrently; for concurrent enrollment in engl 007, review the course titles or topics in the current online schedule of classes to find the corresponding engl 007 writing workshop. teaches the process of analyzing and translating scientific research into popular science stories. introduces the art of science communication through written narratives. provides resources and guidance on interpretation of scientific literature; interviewing scientists; and pursuing careers in entomology, the broader life sciences, and science writing. fulfills the third-quarter writing requirement for students who earn a grade of ""c"" or better for courses that the academic senate designates, and that the student's college permits, as alternatives to english 001c.      cross-listed with bpsc 060w."
ENTM100,14755,GENERAL ENTOMOLOGY,Entomology,"4 units, lecture, 3 hours; laboratory, 3 hours. prerequisite(s): biol 005c with a grade of c- or better;  restricted to class level standing of sophomore, junior, or  senior;  or consent of instructor. introductory study of insects, earth's most diverse group of animals (75 percent of animal species are insects). covers the anatomy, physiology, ecology, behavior, and diversity of insects. focuses on insect identification.     cross-listed with biol 100."
ENTM125,30282,"PESTICIDES, BIOLOGICAL ORGANISMS, AND THE ENVIRONMENT",Entomology,"3 units, lecture, 3 hours. prerequisite(s): biol 005c, chem 008b or chem 08hb; chem 08lb or chem 08hlb. an introduction to the chemistry, mode of action, and use of insecticides, acaricides, herbicides, and biopesticides from discovery to environmental interactions. includes genetics of pesticide resistance development and government regulation.     cross-listed with entx 125, and plpa 125."
ENTM127,37404,INSECT ECOLOGY,Entomology,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 005c; math 007b or math 009b or math 09hb; phys 002c or phys 02hc; phys 02lc or phys 02hlc; bch 100 or bch 110a or bch 110ha; stat 010, or equivalent;  or consent of instructor. introduces principles of insect ecology with examples emphasizing the arthropoda. topics include factors governing population growth; ecological and evolutionary interactions with hosts, competitors, and natural enemies; structure of ecological communities; and adaptations to different environments.     cross-listed with biol 127."
ENTM162,14759,INSECT BEHAVIOR,Entomology,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 005c with a grade of c- or better or biol 100 with a grade of c- or better or entm 100 with a grade of c- or better;  restricted to class level standing of sophomore, junior, or  senior;  or consent of instructor. an analysis of the mechanisms that cause and control behavioral reactions of insects. emphasizes ethological and physiological knowledge concerning orientation mechanisms, communication systems, learning, and the role of the nervous system in integrating behavior in insects.     cross-listed with biol 162."
ENTM190,14766,SPECIAL STUDIES,Entomology,"1 to 4 units, individual study, 3 to 12 hours. prerequisite(s): upper-division standing and consent of instructor. directed studies by a faculty member to address specific curricular needs.  a written proposal signed by the supervising faculty member and the undergraduate advisor is required. course is repeatable to a maximum of 4 units."
ENTM197,14795,RESEARCH FOR UNDERGRADUATES,Entomology,"1 to 4 units, research, 3 to 12 hours. prerequisite(s): upper-division standing and consent of instructor. original research conducted under faculty supervision. a written proposal signed by the supervising faculty member and the undergraduate advisor is required.  requires a formal oral presentation, poster project, or a written report. course is repeatable to a maximum of 6 units."
ENTM199,35238,SENIOR RESEARCH,Entomology,"1 to 4 units, research, 3 to 12 hours. prerequisite(s): senior standing and consent of instructor. research in entomology performed under supervision of a faculty member.  a written proposal signed by the supervising faculty member and the undergraduate advisor is required.  requires a formal written report in the format of a research publication. course is repeatable to a maximum of 6 units. credit is awarded for only one of entm 199 or entm 199h.
."
ENTM199H,35247,SENIOR HONORS RESEARCH,Entomology,"1 to 5 units, laboratory, 3 to 15 hours. prerequisite(s): senior status; consent of instructor; a gpa of 3.5 or better in entomology courses and 3.2 in all university course work. honors course corresponding to entm 199.  research in entomology under supervision of a faculty member in entomology. a written proposal signed by the supervising faculty member and the undergraduate advisor is required.  the student will submit a written report. satisfactory (s) or no credit (nc) grading is not available.  course is repeatable to a maximum of 6 units. credit is awarded for only one of entm 199 or entm 199h."
